time,ctdmo_seawater_temperature,practical_salinity,ctdmo_seawater_pressure,lat,lon
2015-07-01 00:00:01,8.20868049866732,32.61726980486721,40.32793474137269,50.33033,-144.39833
2015-07-01 00:15:01,8.248307679724803,32.61264590321895,40.30644594878788,50.33033,-144.39833
2015-07-01 00:30:01,8.183896400668914,32.62490150849315,40.217874396139536,50.33033,-144.39833
2015-07-01 00:45:01,8.230848720199674,32.60005960290737,40.16875716832478,50.33033,-144.39833
2015-07-01 01:00:01,8.260255967831029,32.59544781930138,39.80867882185388,50.33033,-144.39833
2015-07-01 01:15:01,8.57081694870601,32.59488137365065,39.84061612768078,50.33033,-144.39833
2015-07-01 01:30:01,8.540158944347354,32.633698878262926,40.23217046420197,50.33033,-144.39833
2015-07-01 01:45:01,8.764807696894252,32.574737407239226,40.042764870297304,50.33033,-144.39833
2015-07-01 02:00:01,8.599285408627225,32.60477917652745,40.09356365809357,50.33033,-144.39833
2015-07-01 02:15:01,9.4536984242269,32.603692016882924,39.896132750601524,50.33033,-144.39833
2015-07-01 02:30:01,9.95127964299536,32.53139369276487,40.04300371200442,50.33033,-144.39833
2015-07-01 02:45:01,10.50334005027105,32.5443652301736,39.93124912320225,50.33033,-144.39833
2015-07-01 03:00:01,10.19740524472519,32.69525597893887,40.08428109696758,50.33033,-144.39833
2015-07-01 03:15:01,10.395893179893733,32.51820929716466,39.66980703162948,50.33033,-144.39833
2015-07-01 03:30:01,10.395205015698991,32.55276666973345,39.992065613894006,50.33033,-144.39833
2015-07-01 03:45:01,10.278487228776555,32.5820350066848,39.97322401492301,50.33033,-144.39833
2015-07-01 04:00:01,10.226299916717721,32.54435416841951,40.349752586778834,50.33033,-144.39833
2015-07-01 04:15:01,10.016957805742436,32.604242704175974,40.19061617355407,50.33033,-144.39833
2015-07-01 04:30:01,10.021687846507461,32.57127381479696,40.490967265122286,50.33033,-144.39833
2015-07-01 04:45:01,9.48162643819063,32.58596683125151,40.64372918783181,50.33033,-144.39833
2015-07-01 05:00:01,9.239378108155847,32.60566725055136,40.64661951828025,50.33033,-144.39833
2015-07-01 05:15:01,8.875362674445682,32.645338052612615,40.641433959124036,50.33033,-144.39833
2015-07-01 05:30:01,8.628597213359285,32.54523236324212,40.588734369912416,50.33033,-144.39833
2015-07-01 05:45:01,9.087886791118876,32.538695815132314,40.809100103327424,50.33033,-144.39833
2015-07-01 06:00:01,8.600259880865053,32.59052630327323,41.15619150888797,50.33033,-144.39833
2015-07-01 06:15:01,8.453980030845628,32.60270022894873,40.94268675835405,50.33033,-144.39833
2015-07-01 06:30:01,8.318802206896294,32.60755846845982,41.177366790899704,50.33033,-144.39833
2015-07-01 06:45:01,8.236197458083666,32.61782277626408,41.19362535467915,50.33033,-144.39833
2015-07-01 07:00:01,8.255520903044157,32.61248525142567,41.647958853581486,50.33033,-144.39833
2015-07-01 07:15:01,8.255464539846912,32.60917843413245,41.62294637155433,50.33033,-144.39833
2015-07-01 07:30:01,8.279827954616962,32.58017778910741,41.32869751781133,50.33033,-144.39833
2015-07-01 07:45:01,8.432420949610332,32.61099392085526,41.74084228964017,50.33033,-144.39833
2015-07-01 08:00:01,8.315636301104462,32.611926522284264,41.58212731463686,50.33033,-144.39833
2015-07-01 08:15:01,8.356321658081697,32.578185815222746,41.61680672902594,50.33033,-144.39833
2015-07-01 08:30:01,8.696732996685341,32.580641299894815,41.37721955310905,50.33033,-144.39833
2015-07-01 08:45:01,8.402140190392913,32.55705173697963,41.46024581983923,50.33033,-144.39833
2015-07-01 09:00:01,8.416110343503306,32.58917460901678,41.29970338215147,50.33033,-144.39833
2015-07-01 09:15:01,8.541530707210825,32.58362563655829,41.43293870900022,50.33033,-144.39833
2015-07-01 09:30:01,8.768390777425225,32.54541663117689,41.432013226804905,50.33033,-144.39833
2015-07-01 09:45:01,9.123081814615716,32.52859658335318,41.181021907788306,50.33033,-144.39833
2015-07-01 10:00:01,9.135081912340468,32.58836313235631,41.24360008752227,50.33033,-144.39833
2015-07-01 10:15:01,9.608105801629108,32.58001064724068,41.37128700310224,50.33033,-144.39833
2015-07-01 10:30:01,9.296944237119476,32.59901179803616,40.78380441694614,50.33033,-144.39833
2015-07-01 10:45:01,9.078202612502594,32.627207191543185,40.743214425638904,50.33033,-144.39833
2015-07-01 11:00:01,9.01065821935066,32.588610174317374,40.75951075431174,50.33033,-144.39833
2015-07-01 11:15:01,8.752618366300112,32.61425201209575,40.49124468756618,50.33033,-144.39833
2015-07-01 11:30:01,8.919799047483309,32.59490662345241,40.45086824977685,50.33033,-144.39833
2015-07-01 11:45:01,8.636692613358946,32.597288513158134,39.94621119959232,50.33033,-144.39833
2015-07-01 12:00:01,8.840706521929349,32.56813826455931,40.06853976035682,50.33033,-144.39833
2015-07-01 12:15:01,8.610752731821094,32.61314368085196,40.013747748301725,50.33033,-144.39833
2015-07-01 12:30:01,8.4389033452685,32.61742487008777,39.97568897793549,50.33033,-144.39833
2015-07-01 12:45:01,8.40940801984766,32.61645343046428,40.05289425163061,50.33033,-144.39833
2015-07-01 13:00:01,8.50874793423975,32.584473650950265,39.260876178933614,50.33033,-144.39833
2015-07-01 13:15:01,8.491235866732609,32.6015471268151,39.665635337216166,50.33033,-144.39833
2015-07-01 13:30:01,8.708082260821698,32.57748565252574,39.148979052291054,50.33033,-144.39833
2015-07-01 13:45:01,8.785910674692502,32.60596848157312,38.96292783164621,50.33033,-144.39833
2015-07-01 14:00:01,9.138024185272457,32.5187409300624,39.244417217034254,50.33033,-144.39833
